imdb,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code,imdb_id,error_movies,plot,rated,response,language,title,country,writer,metascore,imdbrating,director,released,actors,year,genre,awards,runtime,type,poster,imdbvotes,imdbid,error_imdb,imdb_rating
tt1606389,ok,ok,PASS,8738320,125014030.0,197618160.0,2012PASS,8866236,126844056.0,200511006.0,1.0,1.0,1606389,,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again.",PG-13,True,English,The Vow,"USA, France, Australia, UK, Germany","Jason Katims, Abby Kohn (screenplay), Stuart Sender (story), Marc Silverstein (screenplay)",43.0,6.8,Michael Sucsy,10 Feb 2012,"Rachel McAdams, Channing Tatum, Jessica Lange, Sam Neill",2012.0,"Drama, Romance",3 wins & 16 nominations.,104 min,movie,http://ia.media-imdb.com/images/M/MV5BMjE1OTU5MjU0N15BMl5BanBnXkFtZTcwMzI3OTU5Ng@@._V1_SX300.jpg,"91,287",tt1606389,,6.8
tt1298649,men,men,FAIL,55000000,34353000.0,67353000.0,2012FAIL,55805121,34855879.0,68338951.0,1.0,1.0,1298649,,Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion.,R,True,English,The Watch,USA,"Jared Stern, Seth Rogen, Evan Goldberg",36.0,5.7,Akiva Schaffer,27 Jul 2012,"Ben Stiller, Vince Vaughn, Jonah Hill, Richard Ayoade",2012.0,"Comedy, Sci-Fi",2 nominations.,102 min,movie,http://ia.media-imdb.com/images/M/MV5BMjU5MzI1NTk1MV5BMl5BanBnXkFtZTcwMzk5NzY5Nw@@._V1_SX300.jpg,"79,597",tt1298649,,5.7
tt1596365,notalk,notalk,FAIL,15000000,54333290.0,128955898.0,2012FAIL,15219578,55128651.0,130843627.0,1.0,1.0,1596365,,A young lawyer travels to a remote village where he discovers the vengeful ghost of a scorned woman is terrorizing the locals.,PG-13,True,English,The Woman in Black,"UK, Canada, Sweden","Susan Hill (novel), Jane Goldman (screenplay)",62.0,6.5,James Watkins,03 Feb 2012,"Daniel Radcliffe, Ciarán Hinds, Janet McTeer, Liz White",2012.0,"Drama, Horror, Thriller",5 wins & 6 nominations.,95 min,movie,http://ia.media-imdb.com/images/M/MV5BMjEwMzIxOTg3N15BMl5BanBnXkFtZTcwMjI4ODUzNw@@._V1_SX300.jpg,"100,483",tt1596365,,6.5
tt1840417,notalk,notalk,FAIL,6000000,11494838.0,12132578.0,2012FAIL,6087831,11663106.0,12310182.0,1.0,1.0,1840417,,A writer at the peak of his literary success discovers the steep price he must pay for stealing another man's work.,PG-13,True,"English, French",The Words,USA,"Brian Klugman, Lee Sternthal",37.0,7.1,"Brian Klugman, Lee Sternthal",07 Sep 2012,"Dennis Quaid, John Hannah, Jeremy Irons, Bradley Cooper",2012.0,"Drama, Mystery, Romance",3 nominations.,102 min,movie,http://ia.media-imdb.com/images/M/MV5BMTM2NjgyMjI3OV5BMl5BanBnXkFtZTcwMDkxMjIyOA@@._V1_SX300.jpg,"42,229",tt1840417,,7.1
tt1621045,ok,ok,PASS,12000000,91547205.0,96155124.0,2012PASS,12175663,92887325.0,97562697.0,1.0,1.0,1621045,,Four friends conspire to turn the tables on their women when they discover the ladies have been using Steve Harvey's relationship advice against them.,PG-13,True,English,Think Like a Man,USA,"Keith Merryman (screenplay), David A. Newman (screenplay), Steve Harvey (book)",51.0,6.5,Tim Story,20 Apr 2012,"Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall",2012.0,"Comedy, Romance",2 wins & 13 nominations.,122 min,movie,http://ia.media-imdb.com/images/M/MV5BMjExNTc4NDg3OV5BMl5BanBnXkFtZTcwNTMzNDAxNw@@._V1_SX300.jpg,"22,905",tt1621045,,6.5
tt1859650,men-disagree,men,FAIL,21500000,16684352.0,74363777.0,2012FAIL,21814729,16928587.0,75452356.0,1.0,1.0,1859650,,"The lives of some visitors and residents of Rome and the romances, adventures and predicaments they get into.",R,True,"English, Italian",To Rome with Love,"USA, Italy, Spain",Woody Allen,54.0,6.3,Woody Allen,06 Jul 2012,"Judy Davis, Flavio Parenti, Roberto Benigni, Alison Pill",2012.0,"Comedy, Romance",5 nominations.,112 min,movie,http://ia.media-imdb.com/images/M/MV5BMTcwNTg4MDMxM15BMl5BanBnXkFtZTcwNjAzMzY3Nw@@._V1_SX300.jpg,"48,974",tt1859650,,6.3
tt1386703,notalk-disagree,notalk,FAIL,125000000,58877969.0,198615996.0,2012FAIL,126829821,59739858.0,201523449.0,1.0,1.0,1386703,,"A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.",PG-13,True,English,Total Recall,"USA, Canada","Kurt Wimmer (screenplay), Mark Bomback (screenplay), Ronald Shusett (screen story by), Dan O'Bannon (screen story by), Jon Povill (screen story by), Kurt Wimmer (screen story by), Ronald Shusett (based on the motion picture ""Total Recall"",  screenplay by), Dan O'Bannon (based on the motion picture ""Total Recall"",  screenplay by), Gary Goldman (based on the motion picture ""Total Recall"",  screenplay by), Ronald Shusett (based on the motion picture ""Total Recall"",  screen story by), Dan O'Bannon (based on the motion picture ""Total Recall"",  screen story by), Jon Povill (based on the motion picture ""Total Recall"",  screen story by)",43.0,6.3,Len Wiseman,03 Aug 2012,"Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston",2012.0,"Action, Adventure, Sci-Fi",4 nominations.,118 min,movie,http://ia.media-imdb.com/images/M/MV5BMzQ2NzYwOTEzMl5BMl5BanBnXkFtZTcwNjExNTMxOA@@._V1_SX300.jpg,"155,966",tt1386703,,6.3
tt1496025,ok,ok,PASS,70000000,62321039.0,160379930.0,2012PASS,71024700,63233330.0,162727662.0,1.0,1.0,1496025,,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrioress Selene leads the battle against humankind.",R,True,"English, Russian",Underworld: Awakening,USA,"Len Wiseman (screenplay), John Hlavin (screenplay), J. Michael Straczynski (screenplay), Allison Burnett (screenplay), Len Wiseman (story), John Hlavin (story), Kevin Grevioux (characters), Len Wiseman (characters), Danny McBride (characters)",39.0,6.4,"Måns Mårlind, Björn Stein",20 Jan 2012,"Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James",2012.0,"Action, Fantasy, Horror",1 win.,88 min,movie,http://ia.media-imdb.com/images/M/MV5BMjAxMjc0ODk0OF5BMl5BanBnXkFtZTcwMTc5NDQwNw@@._V1_SX300.jpg,"86,922",tt1496025,,6.4
tt1655460,ok,ok,PASS,32500000,17288155.0,24159934.0,2012PASS,32975753,17541229.0,24513601.0,1.0,1.0,1655460,,"Rattled by sudden unemployment, a Manhattan couple surveys alternative living options, ultimately deciding to experiment with living on a rural commune where free love rules.",R,True,English,Wanderlust,USA,"David Wain, Ken Marino",53.0,5.6,David Wain,24 Feb 2012,"Paul Rudd, Jennifer Aniston, Justin Theroux, Alan Alda",2012.0,Comedy,1 win.,98 min,movie,http://ia.media-imdb.com/images/M/MV5BMjA5NjIyOTY1Nl5BMl5BanBnXkFtZTcwMDY3NjQ0Nw@@._V1_SX300.jpg,"49,323",tt1655460,,5.6
tt1586265,ok,ok,PASS,37500000,41152203.0,80652203.0,2012PASS,38048946,41754612.0,81832836.0,1.0,1.0,1586265,,"A look at love through the eyes of five interconnected couples experiencing the thrills and surprises of having a baby, and ultimately coming to understand the universal truth that no matter what you plan for, life doesn't always deliver what's expected.",PG-13,True,English,What to Expect When You're Expecting,USA,"Shauna Cross (screenplay), Heather Hach (screenplay), Heidi Murkoff (books)",41.0,5.7,Kirk Jones,18 May 2012,"Cameron Diaz, Jennifer Lopez, Elizabeth Banks, Chace Crawford",2012.0,"Comedy, Drama, Romance",13 nominations.,110 min,movie,http://ia.media-imdb.com/images/M/MV5BODYzNjI0ODUzNF5BMl5BanBnXkFtZTcwNTI1MjQ2Nw@@._V1_SX300.jpg,"41,667",tt1586265,,5.7
